datetime,Average Rainfall,Average England rainfall,average Scotland rainfall,average Wales rainfall
26/03/2024 11:07,0.030904401,0.002807095,0.122556391,0.037333333
26/03/2024 11:22,0.024986343,0.003028825,0.091729323,0.038666667
26/03/2024 11:35,0.021875569,0.003361419,0.077443609,0.034666667
26/03/2024 11:51,0.021572079,0.00291796,0.077443609,0.034666667
26/03/2024 12:15,0.019719697,0.010652655,0.055639098,0.010666667
26/03/2024 12:40,0.014818182,0.002168142,0.062406015,0.006666667
26/03/2024 12:56,0.018212121,0.00380531,0.07443609,0.005333333
26/03/2024 13:10,0.017240334,0.00380531,0.069811321,0.005333333
26/03/2024 13:27,0.015292646,0.003397124,0.061509434,0.005333333
26/03/2024 13:34,0.015899166,0.003397124,0.064528302,0.005333333
26/03/2024 13:50,0.017907506,0.006106195,0.065283019,0.005333333
26/03/2024 14:07,0.016408953,0.011091814,0.041666667,0.004
26/03/2024 14:33,0.024870258,0.016790929,0.064393939,0.004
26/03/2024 14:50,0.026156297,0.022869469,0.05,0.004
26/03/2024 15:06,0.026768939,0.028246681,0.034586466,0.004
26/03/2024 15:26,0.042246212,0.051067478,0.033834586,0.004
26/03/2024 15:34,0.042094697,0.051067478,0.033834586,0.002666667
26/03/2024 16:43,0.43465512,0.097065265,1.786405109,0
26/03/2024 16:48,0.43465512,0.097065265,1.786405109,0
26/03/2024 17:04,0.441860693,0.107042035,1.787682482,0.001333333
26/03/2024 17:24,0.449278405,0.117089503,1.788047445,0.008
26/03/2024 17:40,0.45290738,0.122163717,1.787682482,0.008
26/03/2024 18:25,0.453851657,0.117853982,1.775091241,0.065333333
26/03/2024 18:40,0.451215361,0.115198009,1.771076642,0.065333333
26/03/2024 19:16,0.455664657,0.122778761,1.756318681,0.094666667
26/03/2024 19:42,0.459753012,0.12856969,1.755930657,0.088
26/03/2024 20:20,0.47555991,0.146337763,1.717974453,0.188
26/03/2024 20:41,0.488801205,0.168089602,1.711587591,0.188
26/03/2024 21:19,0.492746797,0.17217608,1.691970803,0.232
26/03/2024 21:41,0.497295181,0.180816372,1.685948905,0.233333333
26/03/2024 22:21,0.490851433,0.166817073,1.65620438,0.310666667
26/03/2024 22:41,0.491454751,0.166817073,1.65620438,0.316
26/03/2024 23:21,0.443165913,0.127120843,1.562682482,0.298666667
26/03/2024 23:41,0.436189291,0.117086475,1.556113139,0.309333333
27/03/2024 01:17,0.389058113,0.11686268,1.414613971,0.168
27/03/2024 02:07,0.402435569,0.131458472,1.381478102,0.245333333
27/03/2024 03:06,0.375134891,0.110497231,1.308850365,0.262666667
27/03/2024 04:10,0.345688772,0.088598007,1.25520073,0.232
27/03/2024 05:09,0.333091937,0.072744186,1.239142336,0.245333333
27/03/2024 06:10,0.323778448,0.058503876,1.280383212,0.173333333
27/03/2024 07:03,0.373813253,0.065817478,1.397536496,0.36
27/03/2024 08:10,0.474972075,0.056756937,1.472262774,1.165333333
27/03/2024 09:03,0.467918491,0.055679245,1.52709854,1.009333333
27/03/2024 10:03,0.42254107,0.05430454,1.569616788,0.544
27/03/2024 11:04,0.410807837,0.067128461,1.632572993,0.248
27/03/2024 12:13,0.404663904,0.059843854,1.710036496,0.096
27/03/2024 13:05,0.442944989,0.074349945,1.814781022,0.156
27/03/2024 14:04,0.487417483,0.085191584,1.95939781,0.22
27/03/2024 15:03,0.513385833,0.046775194,2.100821168,0.422666667
27/03/2024 16:10,0.532158252,0.051217054,2.182208029,0.413333333
27/03/2024 17:04,0.548018086,0.047225914,2.27290146,0.412
27/03/2024 18:10,0.569328054,0.052415743,2.373175182,0.382666667
27/03/2024 19:03,0.571162773,0.045108527,2.413868613,0.372
27/03/2024 20:04,0.53491786,0.038550388,2.436587591,0.049333333
27/03/2024 21:03,0.552608139,0.062526024,2.454927007,0.028
27/03/2024 22:03,0.588620196,0.099971207,2.426368613,0.173333333
